date,gross_btc_contracts_btc,gross_alt_contracts_btc,fee_credit_btc,funding_credit_btc,unrealised_change_btc,wallet_btc_fx_usd,prior_unrealised_fx_usd,gross_btc_contracts_usd,gross_alt_contracts_usd,fee_credit_usd,funding_credit_usd,unrealised_change_usd,flow_usd_eod,reference_gain_usd,decomposition_complete,residual_usd
2018-11-08,0.0,0.92472292,-0.13089277,-0.06117426,0.19001529757524338,-2012.5329640809564,0.0004898246964863052,0.0,5924.471284049797,-838.5976386902303,-391.928369952154,1217.3810659031858,0.0,3898.793867054337,True,-1.8189894035458565e-12
2018-11-09,-3.24e-06,-2.87429636,-0.17368465,-0.33812462,-0.4110360147441412,-1666.9748292616596,-14.321853132369357,-0.020513667205388674,-18198.258944043224,-1099.6633051803733,-2140.7950397001564,-2602.424696262514,0.0,-25722.459181247512,True,-1.0913936421275139e-11
2018-11-10,0.0,0.03000795,-0.02432661,0.00045299,0.23116917062843356,407.0747423065162,-4.80377008140524,0.0,190.6438892684451,-154.54969576784316,2.8778965374080183,1468.6438016447435,0.0,1909.8868639078864,True,2.205524651799351e-11
2018-11-11,0.0,0.32701448,0.00331959,-6e-08,-0.0101453019052542,-331.6000347964791,-0.1795205982456808,0.0,2071.7721814972633,21.03097763737098,-0.00038012485223845675,-64.27468979415478,0.0,1696.7485338208935,True,-9.094947017729282e-12
2018-11-12,0.0,-1.76901097,-0.12949888,-6e-08,5.276347402699063,-281.3841337475213,3.0296655594891155e-05,0.0,-11181.309896715544,-818.5178798283986,-0.00037923936322618315,33349.977152661966,0.0,21068.764893427797,True,0.0
2018-11-13,0.0,0.92448201,-0.15166716,-3e-07,-5.628077369581618,-905.0555410883387,-278.15870411623683,0.0,5794.595912690631,-950.6403541864443,-0.0018803813973699598,-35276.439962400436,0.0,-31615.700529482216,True,7.275957614183426e-12
2018-11-14,2.2954632,6.12742278,-0.253633,-0.07262571,0.4604536766514542,-12445.070493759436,243.989341656802,12795.504907235772,34155.837588769995,-1413.8158678113118,-404.8344703136527,2566.6877513647078,0.0,35498.29875714288,True,7.275957614183426e-12
2018-11-15,0.20997658,5.33557064,-0.52331893,-0.050605,-0.10872560511836582,-929.4723335057793,-3.8811175583132798,1162.9680145552172,29551.381367007267,-2898.433611030624,-280.27885955932214,-602.1833535712434,0.0,26000.100106337195,True,-7.275957614183426e-12
2018-11-16,0.0,0.34448503,-0.14755383,0.00535228,-0.2338740707186595,-1319.254764078112,0.00016797480080174888,0.0,1893.295316268667,-810.95824464855,29.416217753666857,-1285.375688715196,0.0,-1492.8769954447343,True,-1.0913936421275139e-11
2018-11-17,-0.08695893,-0.3586974,-0.03940998,-0.00330215,0.13419404482958797,158.43143124319005,-1.1871903853472994,-478.36910375622165,-1973.2275196772423,-216.7979391150583,-18.16543207199775,738.2138321452693,0.0,-1791.1019216174318,True,-2.4101609596982598e-11
