date,grid_seconds,max_age_seconds,snapshots,valid_snapshots,coverage,peak_gross_usd,min_equity_btc,max_abs_basis_equity_usd
2021-02-01,10,30,8640,8640,1.0,31488037.367465653,731.8377456294422,17003.303511379803
2021-02-01,10,60,8640,8640,1.0,31488037.367465653,731.8377456294422,17003.303511379803
2021-02-01,10,300,8640,8640,1.0,31488037.367465653,731.8377456294422,17003.303511379803
2021-02-01,60,30,1440,1440,1.0,31471550.673794266,731.9245974532862,17003.303511379803
2021-02-01,60,60,1440,1440,1.0,31471550.673794266,731.9245974532862,17003.303511379803
2021-02-01,60,300,1440,1440,1.0,31471550.673794266,731.9245974532862,17003.303511379803
2021-02-01,300,30,288,288,1.0,31388264.011209946,732.7932249861441,2972.0512293515667
2021-02-01,300,60,288,288,1.0,31388264.011209946,732.7932249861441,2972.0512293515667
2021-02-01,300,300,288,288,1.0,31388264.011209946,732.7932249861441,2972.0512293515667
2021-03-01,10,30,8640,8640,1.0,25456817.96800973,690.5806305722058,12850.080941042557
2021-03-01,10,60,8640,8640,1.0,25456817.96800973,690.5806305722058,12850.080941042557
2021-03-01,10,300,8640,8640,1.0,25456817.96800973,690.5806305722058,12850.080941042557
2021-03-01,60,30,1440,1440,1.0,25456817.96800973,690.8430383568783,12849.407312434148
2021-03-01,60,60,1440,1440,1.0,25456817.96800973,690.8430383568783,12849.407312434148
2021-03-01,60,300,1440,1440,1.0,25456817.96800973,690.8430383568783,12849.407312434148
2021-03-01,300,30,288,288,1.0,25309263.637865223,691.9033065841741,12741.137207686405
2021-03-01,300,60,288,288,1.0,25309263.637865223,691.9033065841741,12741.137207686405
2021-03-01,300,300,288,288,1.0,25309263.637865223,691.9033065841741,12741.137207686405
2021-04-01,10,30,8640,8640,1.0,60002544.51538616,626.2414523718459,66950.83451765576
2021-04-01,10,60,8640,8640,1.0,60002544.51538616,626.2414523718459,66950.83451765576
2021-04-01,10,300,8640,8640,1.0,60002544.51538616,626.2414523718459,66950.83451765576
2021-04-01,60,30,1440,1440,1.0,60002544.51538616,627.3091010388587,66945.32417633837
2021-04-01,60,60,1440,1440,1.0,60002544.51538616,627.3091010388587,66945.32417633837
2021-04-01,60,300,1440,1440,1.0,60002544.51538616,627.3091010388587,66945.32417633837
2021-04-01,300,30,288,288,1.0,60002544.51538616,628.2865375515848,66393.53639288127
2021-04-01,300,60,288,288,1.0,60002544.51538616,628.2865375515848,66393.53639288127
2021-04-01,300,300,288,288,1.0,60002544.51538616,628.2865375515848,66393.53639288127
2021-05-01,10,30,8640,8635,0.9994212962962963,101794787.67056525,636.2873443800231,89564.09336069766
2021-05-01,10,60,8640,8640,1.0,101794787.67056525,636.2873443800231,89564.09336069766
2021-05-01,10,300,8640,8640,1.0,101794787.67056525,636.2873443800231,89564.09336069766
2021-05-01,60,30,1440,1439,0.9993055555555556,101794787.67056525,636.298583882758,47708.39748736029
2021-05-01,60,60,1440,1440,1.0,101794787.67056525,636.298583882758,47708.39748736029
2021-05-01,60,300,1440,1440,1.0,101794787.67056525,636.298583882758,47708.39748736029
2021-05-01,300,30,288,288,1.0,101715995.28871776,637.5322168867078,47388.58785478435
2021-05-01,300,60,288,288,1.0,101715995.28871776,637.5322168867078,47388.58785478435
2021-05-01,300,300,288,288,1.0,101715995.28871776,637.5322168867078,47388.58785478435
2021-06-01,10,30,8640,8640,1.0,51361174.8511195,818.2238912912096,923467.8332535344
2021-06-01,10,60,8640,8640,1.0,51361174.8511195,818.2238912912096,923467.8332535344
2021-06-01,10,300,8640,8640,1.0,51361174.8511195,818.2238912912096,923467.8332535344
2021-06-01,60,30,1440,1440,1.0,51361174.8511195,818.2238912912096,922925.9324200257
2021-06-01,60,60,1440,1440,1.0,51361174.8511195,818.2238912912096,922925.9324200257
2021-06-01,60,300,1440,1440,1.0,51361174.8511195,818.2238912912096,922925.9324200257
2021-06-01,300,30,288,288,1.0,50558281.961526945,819.5114751543559,905386.8057228364
2021-06-01,300,60,288,288,1.0,50558281.961526945,819.5114751543559,905386.8057228364
2021-06-01,300,300,288,288,1.0,50558281.961526945,819.5114751543559,905386.8057228364
2021-07-01,10,30,8640,8640,1.0,104633447.21187998,947.1957538528486,449515.22804663394
2021-07-01,10,60,8640,8640,1.0,104633447.21187998,947.1957538528486,449515.22804663394
2021-07-01,10,300,8640,8640,1.0,104633447.21187998,947.1957538528486,449515.22804663394
2021-07-01,60,30,1440,1440,1.0,104629682.3563578,948.6183535231339,448083.0124937675
2021-07-01,60,60,1440,1440,1.0,104629682.3563578,948.6183535231339,448083.0124937675
2021-07-01,60,300,1440,1440,1.0,104629682.3563578,948.6183535231339,448083.0124937675
2021-07-01,300,30,288,288,1.0,104537663.90521836,950.5989309267286,448083.0124937675
2021-07-01,300,60,288,288,1.0,104537663.90521836,950.5989309267286,448083.0124937675
2021-07-01,300,300,288,288,1.0,104537663.90521836,950.5989309267286,448083.0124937675
2021-08-01,10,30,8640,8640,1.0,127057557.71341415,1002.1862830109324,412158.371756072
2021-08-01,10,60,8640,8640,1.0,127057557.71341415,1002.1862830109324,412158.371756072
2021-08-01,10,300,8640,8640,1.0,127057557.71341415,1002.1862830109324,412158.371756072
2021-08-01,60,30,1440,1440,1.0,127031533.66558276,1002.672119347341,412149.60978373454
2021-08-01,60,60,1440,1440,1.0,127031533.66558276,1002.672119347341,412149.60978373454
2021-08-01,60,300,1440,1440,1.0,127031533.66558276,1002.672119347341,412149.60978373454
2021-08-01,300,30,288,288,1.0,127031533.66558276,1002.672119347341,412121.76863702235
2021-08-01,300,60,288,288,1.0,127031533.66558276,1002.672119347341,412121.76863702235
2021-08-01,300,300,288,288,1.0,127031533.66558276,1002.672119347341,412121.76863702235
2021-09-01,10,30,8640,8640,1.0,63355052.88875901,1290.228674034614,76471.93846014935
2021-09-01,10,60,8640,8640,1.0,63355052.88875901,1290.228674034614,76471.93846014935
2021-09-01,10,300,8640,8640,1.0,63355052.88875901,1290.228674034614,76471.93846014935
2021-09-01,60,30,1440,1440,1.0,63355051.61581738,1290.5330412372211,68712.991043836
2021-09-01,60,60,1440,1440,1.0,63355051.61581738,1290.5330412372211,68712.991043836
2021-09-01,60,300,1440,1440,1.0,63355051.61581738,1290.5330412372211,68712.991043836
2021-09-01,300,30,288,288,1.0,63355051.61581738,1291.3147145682954,68405.39081180503
2021-09-01,300,60,288,288,1.0,63355051.61581738,1291.3147145682954,68405.39081180503
2021-09-01,300,300,288,288,1.0,63355051.61581738,1291.3147145682954,68405.39081180503
2021-10-01,10,30,8640,8640,1.0,66989096.081743635,1128.907082755219,140163.99975187588
2021-10-01,10,60,8640,8640,1.0,66989096.081743635,1128.907082755219,140163.99975187588
2021-10-01,10,300,8640,8640,1.0,66989096.081743635,1128.907082755219,140163.99975187588
2021-10-01,60,30,1440,1440,1.0,66976777.46678374,1129.1416841174396,115845.95706864065
2021-10-01,60,60,1440,1440,1.0,66976777.46678374,1129.1416841174396,115845.95706864065
2021-10-01,60,300,1440,1440,1.0,66976777.46678374,1129.1416841174396,115845.95706864065
2021-10-01,300,30,288,288,1.0,66924684.93394118,1130.1061809436271,12287.1398462629
