time,PriceUSD
2020-07-30,0.0192313981116642
2020-07-31,0.0196686230882088
2020-08-01,0.0205167106939129
2020-08-02,0.0190384383342432
2020-08-03,0.0198326185038959
2020-08-04,0.0204047713154384
2020-08-05,0.0203106923481287
2020-08-06,0.0202440083001495
2020-08-07,0.0198996404299415
2020-08-08,0.0203740754924921
2020-08-09,0.0204111243521878
2020-08-10,0.0215142585638136
2020-08-11,0.0201418499204557
2020-08-12,0.0202125334186502
2020-08-13,0.0223320751449367
2020-08-14,0.0247941261969101
2020-08-15,0.0251971458578719
2020-08-16,0.0280653968451417
2020-08-17,0.030649079087132
2020-08-18,0.0288433997835032
2020-08-19,0.026455835437984
2020-08-20,0.027479777034956
2020-08-21,0.0242769877544988
2020-08-22,0.025201223293999
2020-08-23,0.0243830034927885
2020-08-24,0.0250779171053426
2020-08-25,0.0231783934229484
2020-08-26,0.0237454262212284
2020-08-27,0.0230241534647101
2020-08-28,0.0239614095094379
2020-08-29,0.025043328300768
2020-08-30,0.0269602731868923
2020-08-31,0.0293432253434676
2020-09-01,0.034996457428424
2020-09-02,0.0348811773765361
2020-09-03,0.041176452151695
2020-09-04,0.0356706873171488
2020-09-05,0.0296231999617319
2020-09-06,0.0315354351920698
2020-09-07,0.0322535285631739
2020-09-08,0.034881194978149
2020-09-09,0.0339282806172872
2020-09-10,0.0330135231579953
2020-09-11,0.0334618262972201
2020-09-12,0.0327204094617107
2020-09-13,0.030553448837882
2020-09-14,0.0303592443883834
2020-09-15,0.0278951331262099
2020-09-16,0.026470599446088
2020-09-17,0.0280381614078608
2020-09-18,0.0289121237424448
2020-09-19,0.0276927781185272
2020-09-20,0.0269253393022939
2020-09-21,0.0250080520918041
2020-09-22,0.0249348433727108
2020-09-23,0.0248042435109233
2020-09-24,0.0261160405473904
2020-09-25,0.0270917412429911
2020-09-26,0.0271924312053573
2020-09-27,0.0265064853439325
2020-09-28,0.0263433988499952
2020-09-29,0.0263175633620849
2020-09-30,0.0261909566539716
2020-10-01,0.0256255600672231
2020-10-02,0.0259947447984837
2020-10-03,0.0273371289062926
2020-10-04,0.0264287411918416
2020-10-05,0.026429994256256
2020-10-06,0.0255472480819159
2020-10-07,0.0254841471062117
2020-10-08,0.0256929977173533
2020-10-09,0.02634582506463
2020-10-10,0.0264857209846312
2020-10-11,0.0265577648445856
2020-10-12,0.0271442222947513
2020-10-13,0.0268221127170857
2020-10-14,0.0267418337947002
2020-10-15,0.026514498107142
2020-10-16,0.0257621369069985
2020-10-17,0.0257428060948647
2020-10-18,0.0259104300147843
2020-10-19,0.0258809854492598
2020-10-20,0.0269032411136927
2020-10-21,0.0268178961912663
2020-10-22,0.0274966570508869
2020-10-23,0.0268250409946902
2020-10-24,0.0271693828363971
2020-10-25,0.0270452579694552
2020-10-26,0.0269173916969828
2020-10-27,0.0270293633285823
2020-10-28,0.0269880550482544
2020-10-29,0.0266744317723604
2020-10-30,0.0257648481030958
2020-10-31,0.0271974424991074
2020-11-01,0.0269859656897361
2020-11-02,0.0249856437696221
2020-11-03,0.0249816019822916
2020-11-04,0.0252552686082396
2020-11-05,0.0254733318774684
2020-11-06,0.0266616255496516
2020-11-07,0.0267305601891938
2020-11-08,0.0258906954350545
2020-11-09,0.0251033228035194
2020-11-10,0.0257957057283538
2020-11-11,0.0259100280739939
2020-11-12,0.0259657696450168
2020-11-13,0.0270485060038917
2020-11-14,0.026312531688731
2020-11-15,0.0267056316503451
2020-11-16,0.0262288860372189
2020-11-17,0.0270748949525889
2020-11-18,0.0275695492964141
2020-11-19,0.0259284684872193
2020-11-20,0.0262637516149332
2020-11-21,0.0304086832449136
2020-11-22,0.0290200779317087
2020-11-23,0.0314163530553483
2020-11-24,0.0351116089980091
2020-11-25,0.0329052996544109
2020-11-26,0.0292713493624777
2020-11-27,0.0293073661314287
2020-11-28,0.0304717160687573
2020-11-29,0.0306814079467459
2020-11-30,0.0323907356435832
2020-12-01,0.0302626772415041
2020-12-02,0.0312171937824882
2020-12-03,0.0316462562745068
2020-12-04,0.0295710156840582
2020-12-05,0.030538073109519
2020-12-06,0.0309133384424391
2020-12-07,0.0302945497776552
2020-12-08,0.0278234338370357
2020-12-09,0.0287508280302637
2020-12-10,0.0281511919077647
2020-12-11,0.0278299776272495
2020-12-12,0.0285743760683044
2020-12-13,0.0291828926905003
2020-12-14,0.0291062092299252
2020-12-15,0.0292025780489167
2020-12-16,0.0311051630846453
2020-12-17,0.0306959744918939
2020-12-18,0.0311372410408484
2020-12-19,0.03130194896338
2020-12-20,0.0311919124653028
2020-12-21,0.0294768693073679
2020-12-22,0.0288471145693369
2020-12-23,0.0249913273237281
2020-12-24,0.0275827847244535
2020-12-25,0.028389049716686
2020-12-26,0.0277242919196853
2020-12-27,0.0289830187811394
2020-12-28,0.0293991747457028
2020-12-29,0.0274613410160281
2020-12-30,0.0268935737272095
2020-12-31,0.0268544780385869
2021-01-01,0.0269344250841107
2021-01-02,0.0272252683600317
2021-01-03,0.0298164641397662
2021-01-04,0.0309260551379522
2021-01-05,0.0286440445480246
2021-01-06,0.0307405557590479
2021-01-07,0.0308145566694455
2021-01-08,0.0304599005672506
2021-01-09,0.0341779437101664
2021-01-10,0.0328773644781608
2021-01-11,0.0287846049495308
2021-01-12,0.0284778496611342
2021-01-13,0.030254179038877
2021-01-14,0.029940714031733
2021-01-15,0.0297333126204713
2021-01-16,0.0301962471630225
2021-01-17,0.0302629236179076
2021-01-18,0.0315965592584057
2021-01-19,0.030842473698275
2021-01-20,0.0304107795383675
2021-01-21,0.0277828233432782
2021-01-22,0.0286075806957732
2021-01-23,0.0291810731003801
2021-01-24,0.0299955572787458
2021-01-25,0.0296367915952742
2021-01-26,0.0294837620489597
2021-01-27,0.0282646787919552
2021-01-28,0.0297839793391921
2021-01-29,0.0330872439917002
2021-01-30,0.0318961927099385
2021-01-31,0.0316378499313103
2021-02-01,0.0330585449277798
2021-02-02,0.0332760165469481
2021-02-03,0.0345633280982115
2021-02-04,0.033359772620472
2021-02-05,0.0363152510560756
2021-02-06,0.0351055627405074
2021-02-07,0.0361129387340513
2021-02-08,0.0407005615522322
2021-02-09,0.0467067965371909
2021-02-10,0.0463419966563363
2021-02-11,0.0571793505308389
2021-02-12,0.0556455123712568
2021-02-13,0.0598455850261952
2021-02-14,0.055757673173818
2021-02-15,0.0510373917529986
2021-02-16,0.0519199250061425
2021-02-17,0.0526036733358253
2021-02-18,0.0548872224473163
2021-02-19,0.0608613729238671
2021-02-20,0.0574786125161706
2021-02-21,0.0595821904785766
2021-02-22,0.0540101011731173
2021-02-23,0.044712557679138
2021-02-24,0.047821824562052
2021-02-25,0.0457267138286486
2021-02-26,0.0450420619331638
2021-02-27,0.0463635089686929
2021-02-28,0.0458332085183733
2021-03-01,0.0477620768611199
