time,CapMrktCurUSD,PriceUSD,SplyCur
2018-06-29,3080754024.6610684,1.00020925313088,3080109502.1043
2018-06-30,3071944760.7267246,0.997349204185112,3080109502.1043
2018-07-01,3072265743.323365,0.997453415608901,3080109502.1043
2018-07-02,3082631850.4805365,1.00081891516341,3080109502.1043
2018-07-03,3080520700.3762407,1.00013350118613,3080109502.1043
2018-07-04,3078207759.078008,0.999382572916647,3080109502.1043
2018-07-05,3074839124.0593305,0.998288899131226,3080109502.1043
2018-07-06,3076668513.9970007,0.998882835787186,3080109502.1043
2018-07-07,3077044368.182788,0.999004862028633,3080109502.1043
2018-07-08,3075314390.184345,0.998443200828841,3080109502.1043
2018-07-09,3080806424.04878,1.00022626531427,3080109502.1043
2018-07-10,3082607990.7911625,1.00081116878642,3080109502.1043
2018-07-11,3093175016.230885,1.00424189923042,3080109502.1043
2018-07-12,3081032370.4664326,1.00029962193276,3080109502.1043
2018-07-13,3081697065.4143724,1.00051542430845,3080109502.1043
2018-07-14,3082029488.1960487,1.00062334994598,3080109502.1043
2018-07-15,3078057333.2293296,0.999333735091701,3080109502.1043
2018-07-16,3077406936.3802047,0.999122574790848,3080109502.1043
2018-07-17,3080340110.3186603,1.00007487013504,3080109502.1043
2018-07-18,3078484447.1550827,0.999472403514191,3080109502.1043
2018-07-19,3078282804.2786894,0.999406937375323,3080109502.1043
2018-07-20,3075799322.693822,0.998600640851394,3080109502.1043
2018-07-21,3083056523.2458835,1.00095679102953,3080109502.1043
2018-07-22,3077321167.0474095,0.999094728594881,3080109502.1043
2018-07-23,3075848356.571364,0.998616560375524,3080109502.1043
2018-07-24,3078403716.4999304,0.999446193194364,3080109502.1043
2018-07-25,3076478736.344692,0.998821221856844,3080109502.1043
2018-07-26,3077084955.5178695,0.999018039266343,3080109502.1043
2018-07-27,3078353591.063368,0.999429919280554,3080109502.1043
2018-07-28,3080668880.8225174,1.00018161001024,3080109502.1043
2018-07-29,3078557021.1348534,0.99949596565694,3080109502.1043
2018-07-30,3078168694.645083,0.999369890110111,3080109502.1043
2018-07-31,3081411140.5027566,1.00042259484527,3080109502.1043
2018-08-01,3077655711.329279,0.999203343006687,3080109502.1043
2018-08-02,3079394111.9456525,0.999767738725471,3080109502.1043
2018-08-03,3080098268.038316,0.99999635270565,3080109502.1043
2018-08-04,3079762872.2957096,0.999887461855381,3080109502.1043
2018-08-05,3079915354.473757,0.999936967295997,3080109502.1043
2018-08-06,3079314873.8203073,0.999742012976016,3080109502.1043
2018-08-07,3079962920.9571505,0.999952410410393,3080109502.1043
2018-08-08,3081939821.684039,1.00059423847707,3080109502.1043
2018-08-09,3085519403.533811,1.00175639905848,3080109502.1043
2018-08-10,3076384772.1966286,0.998790715101159,3080109502.1043
2018-08-11,3088325986.2068787,1.00266759480368,3080109502.1043
