frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
M,2019-05,BTC,BOD,31,31,0.42492762820001495,,-60.036,58.99260316475457
M,2019-05,BTC,EOD,31,31,0.377536827954233,,-60.036,58.99260316475457
M,2019-05,BTC,MID,31,31,0.3996419797988237,,-60.036,58.99260316475457
M,2019-05,USD,BOD,31,31,1.3149575147502097,,-435960.6098824267,972664.0439723342
M,2019-05,USD,EOD,31,31,1.2379657525106191,,-429279.3783175987,965982.8124075063
M,2019-05,USD,MID,31,31,1.2734176348048543,,-432619.9941000127,969323.4281899203
M,2019-06,BTC,BOD,30,30,0.3287966177454781,,-40.024,45.29793443484368
M,2019-06,BTC,EOD,30,30,0.322306886651715,,-40.024,45.29793443484368
M,2019-06,BTC,MID,30,30,0.3253603782670969,,-40.024,45.29793443484368
M,2019-06,USD,BOD,30,30,0.6838777793053945,,-411783.89512005646,845814.9151236102
M,2019-06,USD,EOD,30,30,0.6756538616369434,,-437922.1495663146,871953.1695698684
M,2019-06,USD,MID,30,30,0.6800865300919532,,-424853.0223431855,858884.0423467392
M,2019-07,BTC,BOD,31,31,0.22389081746835598,,-40.027,39.78061188547893
M,2019-07,BTC,EOD,31,31,0.223309123599099,,-40.027,39.78061188547893
M,2019-07,BTC,MID,31,31,0.22359704819022233,,-40.027,39.78061188547893
M,2019-07,USD,BOD,31,31,0.1354383337418026,,-407371.75996565924,271604.1271563062
M,2019-07,USD,EOD,31,31,0.1348986797888273,,-424528.01010443247,288760.3772950794
M,2019-07,USD,MID,31,31,0.13557516058350386,,-415949.8850350459,280182.25222569285
M,2019-08,BTC,BOD,31,31,0.2529526351097416,,0.0,42.96385180208517
M,2019-08,BTC,EOD,31,31,0.2529526351097416,,0.0,42.96385180208517
M,2019-08,BTC,MID,31,31,0.2529526351097416,,0.0,42.96385180208517
M,2019-08,USD,BOD,31,31,0.1964048017588989,,0.0,335560.69474240136
M,2019-08,USD,EOD,31,31,0.1964048017588989,,0.0,335560.69474240136
M,2019-08,USD,MID,31,31,0.1964048017588989,,0.0,335560.69474240136
M,2019-09,BTC,BOD,30,30,0.12057986468095609,,-20.012,23.75628025410083
M,2019-09,BTC,EOD,30,30,0.11432896435150405,,-20.012,23.75628025410083
M,2019-09,BTC,MID,30,30,0.1173038764727019,,-20.012,23.75628025410083
M,2019-09,USD,BOD,30,30,-0.033729482200767456,,-211730.6562082131,-38737.20289284093
M,2019-09,USD,EOD,30,30,-0.03911960287705739,,-206740.96482097055,-43726.89428008348
M,2019-09,USD,MID,30,30,-0.036573590235176,,-209235.8105145918,-41232.04858646222
M,2019-10,BTC,BOD,31,31,-0.008354457728198471,,0.0,-1.8092206977538865
M,2019-10,BTC,EOD,31,31,-0.008354457728198471,,0.0,-1.8092206977538865
M,2019-10,BTC,MID,31,31,-0.008354457728198471,,0.0,-1.8092206977538865
M,2019-10,USD,BOD,31,31,0.09615905889222803,,0.0,172471.71242250712
M,2019-10,USD,EOD,31,31,0.09615905889222803,,0.0,172471.71242250712
M,2019-10,USD,MID,31,31,0.09615905889222803,,0.0,172471.71242250712
M,2019-11,BTC,BOD,30,30,0.4711327049939454,,0.0,101.17495002989543
M,2019-11,BTC,EOD,30,30,0.4711327049939454,,0.0,101.17495002989543
M,2019-11,BTC,MID,30,30,0.4711327049939454,,0.0,101.17495002989543
M,2019-11,USD,BOD,30,30,0.21418099592029835,,0.0,421097.03363960236
M,2019-11,USD,EOD,30,30,0.21418099592029835,,0.0,421097.03363960236
M,2019-11,USD,MID,30,30,0.21418099592029835,,0.0,421097.03363960236
M,2019-12,BTC,BOD,31,31,0.20457889384553074,,-1.0122,64.57064598186395
M,2019-12,BTC,EOD,31,31,0.20454386495054877,,-1.0122,64.57064598186395
M,2019-12,BTC,MID,31,31,0.204561356390876,,-1.0122,64.57064598186395
M,2019-12,USD,BOD,31,31,0.14259812879584016,,-7321.512795942664,340039.4637465089
M,2019-12,USD,EOD,31,31,0.1425649022881663,,-7288.658012952961,340006.60896351916
M,2019-12,USD,MID,31,31,0.14258146933209598,,-7305.085404447812,340023.036355014
M,2020-01,BTC,BOD,31,31,0.5017192600687308,,-100.036,161.5485412663666
M,2020-01,BTC,EOD,31,31,0.4912330754992396,,-100.036,161.5485412663666
M,2020-01,BTC,MID,31,31,0.49621713665541506,,-100.036,161.5485412663666
M,2020-01,USD,BOD,31,31,0.9605469870926893,,-842850.4394377638,2249463.885616598
M,2020-01,USD,EOD,31,31,0.9468569065893113,,-848081.3015990225,2254694.747777857
M,2020-01,USD,MID,31,31,0.9534302607276963,,-845465.870518393,2252079.3166972273
M,2020-02,BTC,BOD,29,29,0.09435041071314709,,-50.012,35.25671568517464
M,2020-02,BTC,EOD,29,29,0.08565458374082922,,-50.012,35.25671568517464
M,2020-02,BTC,MID,29,29,0.08973285426357397,,-50.012,35.25671568517464
M,2020-02,USD,BOD,29,29,0.0036900941452081477,,-518205.1238973421,49717.637635195744
M,2020-02,USD,EOD,29,29,-0.004285336125639472,,-495705.1570420115,27217.67077986512
M,2020-02,USD,MID,29,29,-0.0005739619937589482,,-506955.1404696768,38467.65420753043
M,2020-03,BTC,BOD,31,31,0.7680215080849959,,-100.024,297.4071679298651
M,2020-03,BTC,EOD,31,31,0.7485595633043063,,-100.024,297.4071679298651
M,2020-03,BTC,MID,31,31,0.7578137321729999,,-100.024,297.4071679298651
M,2020-03,USD,BOD,31,31,0.32515407357250925,,-572423.4522504831,925778.7368799296
M,2020-03,USD,EOD,31,31,0.31056710430327883,,-620286.3333653712,973641.6179948177
M,2020-03,USD,MID,31,31,0.3185682870215973,,-596354.8928079272,949710.1774373737
M,2020-04,BTC,BOD,30,30,-0.0902434615149321,,0.0,-56.27781935666519
M,2020-04,BTC,EOD,30,30,-0.0902434615149321,,0.0,-56.27781935666519
M,2020-04,BTC,MID,30,30,-0.0902434615149321,,0.0,-56.27781935666519
M,2020-04,USD,BOD,30,30,0.22374354521773818,,0.0,897519.602621275
M,2020-04,USD,EOD,30,30,0.22374354521773818,,0.0,897519.602621275
M,2020-04,USD,MID,30,30,0.22374354521773818,,0.0,897519.602621275
M,2020-05,BTC,BOD,31,31,0.13021088233629424,,-100.027,70.62402451387068
M,2020-05,BTC,EOD,31,31,0.13380230302041585,,-100.027,70.62402451387068
M,2020-05,BTC,MID,31,31,0.1320861440429485,,-100.027,70.62402451387068
M,2020-05,USD,BOD,31,31,0.23229768091514197,,-878765.4194970155,1044777.6160583893
M,2020-05,USD,EOD,31,31,0.2362134982633923,,-878683.3316594106,1044695.5282207844
M,2020-05,USD,MID,31,31,0.23437850753966147,,-878724.375578213,1044736.5721395868
M,2020-06,BTC,BOD,30,30,0.0875123758238574,,0.0,47.07652397165816
M,2020-06,BTC,EOD,30,30,0.0875123758238574,,0.0,47.07652397165816
M,2020-06,BTC,MID,30,30,0.0875123758238574,,0.0,47.07652397165816
M,2020-06,USD,BOD,30,30,0.054084916637424096,,0.0,274475.99310353585
M,2020-06,USD,EOD,30,30,0.054084916637424096,,0.0,274475.99310353585
M,2020-06,USD,MID,30,30,0.054084916637424096,,0.0,274475.99310353585
M,2020-07,BTC,BOD,31,31,0.06002311491508568,,0.0,35.11459396514783
M,2020-07,BTC,EOD,31,31,0.06002311491508568,,0.0,35.11459396514783
M,2020-07,BTC,MID,31,31,0.06002311491508568,,0.0,35.11459396514783
M,2020-07,USD,BOD,31,31,0.31439128043625203,,0.0,1681799.781845849
M,2020-07,USD,EOD,31,31,0.31439128043625203,,0.0,1681799.781845849
M,2020-07,USD,MID,31,31,0.31439128043625203,,0.0,1681799.781845849
M,2020-08,BTC,BOD,31,31,0.240667600793105,,-172.026,131.3138683294331
M,2020-08,BTC,EOD,31,31,0.2240731867545686,,-172.026,131.3138683294331
M,2020-08,BTC,MID,31,31,0.23191312315832208,,-172.026,131.3138683294331
M,2020-08,USD,BOD,31,31,0.2778881722003886,,-2032649.991155673,1768138.142610269
M,2020-08,USD,EOD,31,31,0.2607959184727294,,-1974479.8584238128,1709968.0098784086
M,2020-08,USD,MID,31,31,0.26883711910114033,,-2003564.924789743,1739053.0762443389
M,2020-09,BTC,BOD,30,30,0.16935675575029402,,0.0,98.12874522929621
M,2020-09,BTC,EOD,30,30,0.16935675575029402,,0.0,98.12874522929621
M,2020-09,BTC,MID,30,30,0.16935675575029402,,0.0,98.12874522929621
M,2020-09,USD,BOD,30,30,0.07863903945170944,,0.0,532124.6052674083
M,2020-09,USD,EOD,30,30,0.07863903945170944,,0.0,532124.6052674083
M,2020-09,USD,MID,30,30,0.07863903945170944,,0.0,532124.6052674083
M,2020-10,BTC,BOD,31,31,-0.05240480568938874,,-50.012,-31.764965132527948
M,2020-10,BTC,EOD,31,31,-0.05240481941653832,,-50.012,-31.764965132527948
M,2020-10,BTC,MID,31,31,-0.052404812809527516,,-50.012,-31.764965132527948
M,2020-10,USD,BOD,31,31,0.21456006077253037,,-530458.1460356957,1457625.8342567442
M,2020-10,USD,EOD,31,31,0.21456004317804725,,-528632.1251576735,1455799.813378722
M,2020-10,USD,MID,31,31,0.21456032153764973,,-529545.1355966845,1456712.8238177332
M,2020-11,BTC,BOD,30,30,-0.07135413538589983,,0.0,-42.51080292862673
M,2020-11,BTC,EOD,30,30,-0.07135413538589983,,0.0,-42.51080292862673
M,2020-11,BTC,MID,30,30,-0.07135413538589983,,0.0,-42.51080292862673
M,2020-11,USD,BOD,30,30,0.32258722626405534,,0.0,2653591.082324569
M,2020-11,USD,EOD,30,30,0.32258722626405534,,0.0,2653591.082324569
M,2020-11,USD,MID,30,30,0.32258722626405534,,0.0,2653591.082324569
M,2020-12,BTC,BOD,31,31,0.013558725661098277,,-50.012,10.296737985601055
M,2020-12,BTC,EOD,31,31,0.013840990741904627,,-50.012,10.296737985601055
M,2020-12,BTC,MID,31,31,0.013706061095720166,,-50.012,10.296737985601055
M,2020-12,USD,BOD,31,31,0.4959098916508054,,-1193124.9572436558,5218047.109169456
M,2020-12,USD,EOD,31,31,0.4963264862848957,,-1176709.8732853276,5201632.0252111275
M,2020-12,USD,MID,31,31,0.4961351016370359,,-1184917.4152644917,5209839.567190292
M,2021-01,BTC,BOD,31,31,0.6839673863995526,,-100.012,339.24358000995215
