time,symbol,execcomm,lastqty
2018-08-20 20:00:00,XBTUSD,2,1
2018-08-21 04:00:00,XBTUSD,1,1
2018-08-21 12:00:00,XBTUSD,-10,1
2018-08-21 20:00:00,XBTUSD,-9,1
2018-08-22 04:00:00,XBTUSD,1,1
2018-08-22 12:00:00,XBTUSD,0,1
2018-08-22 20:00:00,XBTUSD,-2,1
2018-08-23 04:00:00,XBTUSD,-2,1
2018-08-23 12:00:00,XBTUSD,2962009,250001
2018-08-23 20:00:00,XBTUSD,7,1
2018-08-24 04:00:00,XBTUSD,527384,250001
2018-08-24 12:00:00,XBTUSD,615868,250001
2018-08-24 20:00:00,XBTUSD,3488569,500001
2018-08-25 04:00:00,XBTUSD,3566407,500001
2018-08-25 12:00:00,XBTUSD,1,1
2018-08-25 20:00:00,XBTUSD,-1,1
2018-08-26 04:00:00,XBTUSD,298323,249999
2018-08-26 12:00:00,XBTUSD,-168053,250001
2018-08-26 20:00:00,XBTUSD,0,1
2018-08-27 04:00:00,XBTUSD,2024329,500001
2018-08-27 12:00:00,XBTUSD,1133010,500001
2018-08-27 20:00:00,XBTUSD,233715,750001
2018-08-28 04:00:00,XBTUSD,-1,1
2018-08-28 12:00:00,XBTUSD,-1,1
2018-08-28 20:00:00,XBTUSD,-704801,500001
2018-08-29 04:00:00,XBTUSD,710151,500001
2018-08-29 12:00:00,XBTUSD,1,1
2018-08-29 20:00:00,XBTUSD,1,1
2018-08-30 04:00:00,XBTUSD,356126,250001
2018-08-30 12:00:00,XBTUSD,2183851,1500001
2018-08-30 20:00:00,XBTUSD,2552582,1500001
2018-08-31 04:00:00,XBTUSD,1,1
2018-08-31 12:00:00,XBTUSD,1,1
2018-08-31 20:00:00,XBTUSD,1,1
2018-09-01 04:00:00,XBTUSD,2,1
2018-09-01 12:00:00,XBTUSD,1,1
2018-09-01 20:00:00,XBTUSD,1,1
2018-09-02 04:00:00,XBTUSD,-1,1
2018-09-02 12:00:00,XBTUSD,-4,1
2018-09-02 20:00:00,XBTUSD,342274,249999
2018-09-03 04:00:00,XBTUSD,-689151,500001
2018-09-03 12:00:00,XBTUSD,-692001,500001
2018-09-03 20:00:00,XBTUSD,-684001,500001
2018-09-04 04:00:00,XBTUSD,-688101,500001
2018-09-04 12:00:00,XBTUSD,-1023001,750001
2018-09-04 20:00:00,XBTUSD,-1020526,750001
2018-09-05 04:00:00,XBTUSD,-1357101,1000001
2018-09-05 12:00:00,XBTUSD,357549,249999
2018-09-05 20:00:00,XBTUSD,2173349,1499999
2018-09-06 04:00:00,XBTUSD,-389827,250001
2018-09-06 12:00:00,XBTUSD,3549376,1000001
2018-09-06 20:00:00,XBTUSD,-6581537,499999
2018-09-07 04:00:00,XBTUSD,1124494,500001
2018-09-07 12:00:00,XBTUSD,6,1
2018-09-07 20:00:00,XBTUSD,10,1
2018-09-08 04:00:00,XBTUSD,2,1
2018-09-08 12:00:00,XBTUSD,1,1
2018-09-08 20:00:00,XBTUSD,-1412136,249999
2018-09-09 04:00:00,XBTUSD,-214530,249999
2018-09-09 12:00:00,XBTUSD,-3306672,750001
2018-09-09 20:00:00,XBTUSD,9,1
2018-09-10 04:00:00,XBTUSD,13,1
2018-09-10 12:00:00,XBTUSD,6,1
2018-09-10 20:00:00,XBTUSD,9,1
2018-09-10 20:00:00,ETHUSD,8,1
2018-09-11 04:00:00,XBTUSD,6,1
2018-09-11 12:00:00,XBTUSD,1,1
2018-09-11 20:00:00,XBTUSD,3,1
2018-09-12 04:00:00,XBTUSD,7,1
2018-09-12 12:00:00,XBTUSD,-2,1
2018-09-12 12:00:00,ETHUSD,2300040,200000
2018-09-12 20:00:00,XBTUSD,-2,1
2018-09-13 04:00:00,XBTUSD,18449,107036
2018-09-13 12:00:00,ETHUSD,-585720,300000
2018-09-13 12:00:00,XBTUSD,4068343,999999
2018-09-13 20:00:00,ETHUSD,-608250,300000
2018-09-13 20:00:00,XBTUSD,10854889,999999
2018-09-14 04:00:00,ETHUSD,2471773,224941
2018-09-14 04:00:00,XBTUSD,11082405,750001
2018-09-14 12:00:00,XBTUSD,6,1
2018-09-14 20:00:00,ETHUSD,6,1
2018-09-14 20:00:00,XBTUSD,2607462,500001
2018-09-15 04:00:00,XBTUSD,6,1
2018-09-15 04:00:00,ETHUSD,11,1
2018-09-15 12:00:00,XBTUSD,8,1
2018-09-15 12:00:00,ETHUSD,9,1
2018-09-15 20:00:00,XBTUSD,9,1
2018-09-15 20:00:00,ETHUSD,9,1
2018-09-16 04:00:00,ETHUSD,2,1
2018-09-16 04:00:00,XBTUSD,7,1
2018-09-16 12:00:00,XBTUSD,1,1
2018-09-16 12:00:00,ETHUSD,-878848,400989
2018-09-16 20:00:00,XBTUSD,0,1
2018-09-16 20:00:00,ETHUSD,207,93
2018-09-17 04:00:00,XBTUSD,0,1
2018-09-17 04:00:00,ETHUSD,-480144,215514
2018-09-17 12:00:00,XBTUSD,3,1
2018-09-17 12:00:00,ETHUSD,-1126,514
2018-09-17 20:00:00,XBTUSD,-1,1
2018-09-17 20:00:00,ETHUSD,787116,399612
2018-09-18 04:00:00,XBTUSD,0,1
2018-09-18 04:00:00,ETHUSD,4624610,399612
2018-09-18 12:00:00,XBTUSD,1,1
2018-09-18 12:00:00,ETHUSD,-801064,400953
2018-09-18 20:00:00,XBTUSD,3,1
2018-09-18 20:00:00,ETHUSD,413641,200039
2018-09-19 04:00:00,XBTUSD,1,1
2018-09-19 04:00:00,ETHUSD,437084,205609
2018-09-19 12:00:00,XBTUSD,0,1
2018-09-19 12:00:00,ETHUSD,596530,290579
2018-09-19 20:00:00,XBTUSD,-1,1
2018-09-19 20:00:00,ETHUSD,42,20
2018-09-20 04:00:00,XBTUSD,-1,1
2018-09-20 04:00:00,ETHUSD,117,17
2018-09-20 12:00:00,XBTUSD,3,1
2018-09-20 12:00:00,ETHUSD,36,17
2018-09-20 20:00:00,XBTUSD,0,1
2018-09-20 20:00:00,ETHUSD,36,17
2018-09-21 04:00:00,XBTUSD,2,1
2018-09-21 04:00:00,ETHUSD,516,27
2018-09-21 12:00:00,XBTUSD,8,1
2018-09-21 12:00:00,ETHUSD,-5181024,299604
2018-09-21 20:00:00,ETHUSD,-1464906,78835
2018-09-24 04:00:00,XBTUSD,298280,200000
2018-09-24 12:00:00,XBTUSD,-2,1
2018-09-24 20:00:00,XBTUSD,-2,1
2018-09-25 04:00:00,XBTUSD,-2,1
2018-09-25 04:00:00,ETHUSD,-2809927,100000
2018-09-25 12:00:00,XBTUSD,2,1
2018-09-25 12:00:00,ETHUSD,416701,50655
2018-09-25 20:00:00,XBTUSD,2,1
2018-09-25 20:00:00,ETHUSD,2,1
2018-09-26 04:00:00,XBTUSD,2,1
2018-09-26 04:00:00,ETHUSD,2,1
2018-09-26 12:00:00,XBTUSD,1,1
2018-09-26 12:00:00,ETHUSD,-325412,150001
2018-09-26 20:00:00,XBTUSD,-3,1
2018-09-26 20:00:00,ETHUSD,-132451,100001
2018-09-27 04:00:00,XBTUSD,-1,1
2018-09-27 04:00:00,ETHUSD,-2,1
2018-09-27 12:00:00,ETHUSD,-3,1
2018-09-27 12:00:00,XBTUSD,2,1
2018-09-27 20:00:00,XBTUSD,2,1
2018-09-27 20:00:00,ETHUSD,-2,1
2018-09-28 04:00:00,XBTUSD,1,1
2018-09-28 04:00:00,ETHUSD,-16,1
2018-09-28 12:00:00,ETHUSD,30,1
2018-09-28 12:00:00,XBTUSD,2,1
2018-09-28 20:00:00,XBTUSD,1,1
