date,symbol,fills,contracts,turnover_usd_proxy,maker_usd_proxy,known_liquidity_usd_proxy,forced_fills,fee_sat
2018-08-01,ETHU18,1,50,21514.495505103736,21514.495505103736,21514.495505103736,0,-125325
2018-08-01,XBTUSD,444,10198822,10198822.0,8180511.0,10198822.0,0,-6401946
2018-08-01,XRPU18,61,459884,216804.96022079317,190008.57024295843,216804.96022079317,0,-326342
2018-08-02,ADAU18,6,202500,28142.917372636224,28142.917372636224,28142.917372636224,0,-166706
2018-08-02,EOSU18,15,6285,44925.09821387161,41563.8829629052,44925.09821387161,0,-146654
2018-08-02,XBTUSD,175,2655435,2655435.0,2632574.0,2655435.0,0,-7559770
2018-08-03,ADAU18,6,200000,27357.353538688192,27357.353538688192,27357.353538688192,0,-163212
2018-08-03,EOSU18,17,8153,60283.27112214926,60283.27112214926,60283.27112214926,0,-359641
2018-08-03,ETHU18,29,168,72160.05470697692,51397.42996507557,72160.05470697692,0,312718
2018-08-03,TRXU18,5,2000000,62227.230960622444,62227.230960622444,62227.230960622444,0,-371248
2018-08-03,XBTUSD,123,3504066,3504066.0,2664439.0,3504066.0,0,-433033
2018-08-03,XRPU18,2,120,55.43880576491818,55.43880576491818,55.43880576491818,0,-330
2018-08-04,ADAU18,9,200000,26636.371235025123,26636.371235025123,26636.371235025123,0,-161726
2018-08-04,EOSU18,26,13833,103870.9190483667,69772.87386552716,103870.9190483667,0,611535
2018-08-04,ETHU18,16,144,62626.00714061964,24739.882354855232,62626.00714061964,0,999967
2018-08-04,XBTUSD,322,6943538,6943538.0,4358743.0,6943538.0,0,10558292
2018-08-05,ADAU18,33,378667,49655.289906290076,41647.26089527376,49655.289906290076,0,-122589
2018-08-05,XBTUSD,599,9176299,9176299.0,6147173.0,9176299.0,0,9410917
2018-08-06,XBTUSD,346,7214902,7214902.0,6306260.0,7214902.0,0,-12036292
2018-08-07,ADAU18,12,100000,12778.903208930451,10355.256426324702,12778.903208930451,0,11452
2018-08-07,XBTUSD,1433,23008922,23008922.0,16697063.0,23008922.0,0,6868296
2018-08-08,ADAU18,49,500842,60344.382693939275,0.0,60344.382693939275,0,2019665
2018-08-08,EOSU18,41,40001,239044.33529405395,236704.5411982643,239044.33529405395,0,-1506142
2018-08-08,ETHUSD,5,20000,48103.40997581339,46488.01034420909,48103.40997581339,0,-139372
2018-08-08,TRXU18,1,1,0.026016378534888942,0.0,0.026016378534888942,0,0
2018-08-08,XBTUSD,1370,27506984,27506984.0,21044861.0,27506984.0,0,-4882213
2018-08-08,XRPU18,9,75872,26578.99058612268,26578.99058612268,26578.99058612268,0,-177913
2018-08-09,EOSU18,41,20000,111084.99997830116,66018.47368757347,111084.99997830116,0,1143866
2018-08-09,XBTUSD,942,16321482,16321482.0,11531261.0,16321482.0,0,10046666
2018-08-10,XBTUSD,543,10430607,10430607.0,8049647.0,10430607.0,0,-3298106
2018-08-11,EOSU18,9,10000,47499.92301305958,47499.92301305958,47499.92301305958,0,-348364
2018-08-11,XBTUSD,205,2691251,2691251.0,1201905.0,2691251.0,0,11726823
2018-08-12,EOSU18,3,3154,15030.759110658291,15030.759110658291,15030.759110658291,0,-107127
2018-08-12,XBTUSD,453,6592752,6592752.0,4081912.0,6592752.0,0,12333515
2018-08-13,ADAU18,3,300000,30152.652656239057,30152.652656239057,30152.652656239057,0,-214875
2018-08-13,EOSU18,18,28154,130702.66052909617,66752.60549300587,130702.66052909617,0,1802922
2018-08-13,TRXU18,59,7000018,134250.69127796296,114035.36487741693,134250.69127796296,0,-92338
2018-08-13,XBTUSD,78,1000000,1000000.0,678121.0,1000000.0,0,1004024
2018-08-14,ADAU18,15,500000,46529.20132902934,46529.20132902934,46529.20132902934,0,-334157
2018-08-14,EOSU18,12,15000,65707.47530546447,43463.05495605468,65707.47530546447,0,486628
2018-08-14,ETHUSD,12,27082,46797.529379073676,46797.529379073676,46797.529379073676,0,-168039
2018-08-14,TRXU18,4,1000000,17732.349964050278,17732.349964050278,17732.349964050278,0,-127348
2018-08-14,XBTUSD,313,3723850,3723850.0,2570693.0,3723850.0,0,3336758
2018-08-15,ADAU18,70,1600000,150730.4696457045,150543.06932441014,150730.4696457045,0,-1088489
2018-08-15,EOSU18,65,31652,144476.1261735742,36082.35411532926,144476.1261735742,0,3680761
2018-08-15,TRXU18,76,9280000,175552.0484207168,136694.34292280886,175552.0484207168,0,419065
2018-08-15,XBTUSD,814,13063837,13063837.0,8510493.0,13063837.0,0,17624980
2018-08-16,XBTUSD,831,10622573,10622573.0,7036646.0,10622573.0,0,13346715
2018-08-17,EOSU18,14,15000,76898.00145969684,76898.00145969684,76898.00145969684,0,-550072
2018-08-17,ETHUSD,49,100000,197388.02241084,177604.82005304258,197388.02241084,0,-422945
2018-08-17,TRXU18,11,2251580,48196.80541853995,48196.80541853995,48196.80541853995,0,-344766
2018-08-17,XBTUSD,548,6942316,6942316.0,4588212.0,6942316.0,0,8705059
2018-08-17,XRPU18,115,1272724,431186.80887431477,425848.7314293846,431186.80887431477,0,-2855281
2018-08-18,EOSU18,31,15456,81723.52698285022,23490.076267499495,81723.52698285022,0,1835332
2018-08-18,ETHUSD,95,139860,283284.2358912272,167608.34192373368,283284.2358912272,0,615129
2018-08-18,TRXU18,72,10000000,220913.2151983169,219285.2436287999,220913.2151983169,0,-1447705
2018-08-18,XBTUSD,690,8049998,8049998.0,3362592.0,8049998.0,0,37675191
2018-08-18,XRPU18,86,847430,298770.49970468064,292513.260864215,298770.49970468064,0,-1791076
2018-08-19,XBTUSD,116,2000000,2000000.0,1003310.0,2000000.0,0,6912713
2018-08-20,XBTUSD,50,1500000,1500000.0,1245000.0,1500000.0,0,-1752518
2018-08-22,XBTUSD,333,5521634,5521634.0,3911981.0,5521634.0,0,3619182
2018-08-23,XBTUSD,104,1250000,1250000.0,802949.0,1250000.0,0,1902439
2018-08-24,XBTUSD,307,2310452,2310452.0,1093769.0,2310452.0,0,8590708
2018-08-25,XBTUSD,471,4274038,4274038.0,1820452.0,4274038.0,0,18429522
2018-08-26,XBTUSD,646,8616856,8616856.0,6745225.0,8616856.0,0,-3736613
2018-08-27,XBTUSD,307,4079758,4079758.0,2858634.0,4079758.0,0,2705944
2018-08-28,XBTUSD,443,5765566,5765566.0,4627037.0,5765566.0,0,-3874212
2018-08-29,TRXU18,36,4323804,114998.41222934263,113156.03072436881,114998.41222934263,0,-659443
2018-08-29,XBTUSD,50,1500000,1500000.0,1500000.0,1500000.0,0,-4785215
2018-08-30,XBTUSD,619,6141950,6141950.0,4287545.0,6141950.0,0,4188412
