date,account_net_sat,xbtusd_net_sat,other_net_sat,cumulative_sat,drawdown_sat
2019-03-02,165586972,165586972,0,27945859964,0
2019-03-03,-12881,-12881,0,27945847083,-12881
2019-03-04,9282172,17284750,-8002578,27955129255,0
2019-03-05,-49357240,61999064,-111356304,27905772015,-49357240
2019-03-06,835272667,655487065,179785602,28741044682,0
2019-03-07,231344934,216823346,14521588,28972389616,0
2019-03-08,49460485,-93127743,142588228,29021850101,0
2019-03-09,-16637993,-16637993,0,29005212108,-16637993
2019-03-10,-17558297,-17558297,0,28987653811,-34196290
2019-03-11,-33167943,-33167943,0,28954485868,-67364233
2019-03-12,834330462,834330462,0,29788816330,0
2019-03-13,57520,57520,0,29788873850,0
2019-03-14,4623,4623,0,29788878473,0
2019-03-15,-186898113,-186898113,0,29601980360,-186898113
2019-03-16,119058057,119058057,0,29721038417,-67840056
2019-03-17,93210593,93210593,0,29814249010,0
2019-03-18,-53896481,-53896481,0,29760352529,-53896481
2019-03-19,50348688,50348688,0,29810701217,-3547793
2019-03-20,-127,-127,0,29810701090,-3547920
2019-03-21,-3958,-3958,0,29810697132,-3551878
2019-03-22,-18854949,-18854949,0,29791842183,-22406827
2019-03-23,-16503702,-16503702,0,29775338481,-38910529
2019-03-24,105546267,105546267,0,29880884748,0
2019-03-25,-12360040,-12360040,0,29868524708,-12360040
2019-03-26,318393977,318393977,0,30186918685,0
2019-03-27,8693298,8693298,0,30195611983,0
2019-03-28,131555253,131555253,0,30327167236,0
2019-03-29,303648606,303649614,-1008,30630815842,0
2019-03-30,241665195,241665195,0,30872481037,0
2019-03-31,-7838535,-7838535,0,30864642502,-7838535
2019-04-01,-48715816,-48715816,0,30815926686,-56554351
2019-04-02,-7476784228,-7476784228,0,23339142458,-7533338579
2019-04-03,1887754789,1887754789,0,25226897247,-5645583790
2019-04-04,1223241439,1352008939,-128767500,26450138686,-4422342351
2019-04-05,270662113,270662113,0,26720800799,-4151680238
2019-04-06,435214129,435214129,0,27156014928,-3716466109
2019-04-07,1160995415,1160995415,0,28317010343,-2555470694
2019-04-08,-135377905,-150136891,14758986,28181632438,-2690848599
2019-04-09,340907047,340907047,0,28522539485,-2349941552
2019-04-10,160174933,160174933,0,28682714418,-2189766619
2019-04-11,346168815,304010738,42158077,29028883233,-1843597804
2019-04-12,625957786,625957786,0,29654841019,-1217640018
2019-04-13,221090718,221090718,0,29875931737,-996549300
2019-04-14,183858909,183858909,0,30059790646,-812690391
2019-04-15,-355168090,-355168090,0,29704622556,-1167858481
2019-04-16,95346018,95346018,0,29799968574,-1072512463
2019-04-17,222319309,222319309,0,30022287883,-850193154
2019-04-18,280921670,280921670,0,30303209553,-569271484
2019-04-19,11137173,11137173,0,30314346726,-558134311
2019-04-20,-52542235,-52542235,0,30261804491,-610676546
2019-04-21,365003562,365003562,0,30626808053,-245672984
2019-04-22,434819099,434819099,0,31061627152,0
2019-04-23,1457608867,1454553175,3055692,32519236019,0
2019-04-24,1016807221,1016807221,0,33536043240,0
2019-04-25,632114485,632114485,0,34168157725,0
2019-04-26,-521884844,-521884844,0,33646272881,-521884844
2019-04-27,352464440,352464440,0,33998737321,-169420404
2019-04-28,4700342,4700342,0,34003437663,-164720062
2019-04-29,-71113590,-71113590,0,33932324073,-235833652
2019-04-30,117986483,117986483,0,34050310556,-117847169
2019-05-01,-805406868,-805406868,0,33244903688,-923254037
2019-05-02,-54379834,-54379834,0,33190523854,-977633871
2019-05-03,-733928111,-733928111,0,32456595743,-1711561982
2019-05-04,52534985,52534985,0,32509130728,-1659026997
2019-05-05,1208678674,1208678674,0,33717809402,-450348323
2019-05-06,2042666165,2042666165,0,35760475567,0
2019-05-07,-630377626,-651072136,20694510,35130097941,-630377626
2019-05-08,1264798647,1264798647,0,36394896588,0
2019-05-09,-514044216,-514044216,0,35880852372,-514044216
2019-05-10,-194759649,-194759649,0,35686092723,-708803865
2019-05-11,1069844363,1069844363,0,36755937086,0
2019-05-12,-269855561,-269855561,0,36486081525,-269855561
2019-05-13,1460351568,1460351568,0,37946433093,0
2019-05-14,-2493773780,-2487303815,-6469965,35452659313,-2493773780
2019-05-15,1821028702,1821028702,0,37273688015,-672745078
2019-05-16,463188112,463188112,0,37736876127,-209556966
2019-05-17,393169778,393169778,0,38130045905,0
2019-05-18,126523852,126523852,0,38256569757,0
2019-05-19,653061614,653061614,0,38909631371,0
2019-05-20,246531321,246531321,0,39156162692,0
2019-05-21,579951781,579951781,0,39736114473,0
2019-05-22,48660468,48660468,0,39784774941,0
2019-05-23,718720631,816847047,-98126416,40503495572,0
2019-05-24,-311323539,-311323539,0,40192172033,-311323539
2019-05-25,-36371157,-36371157,0,40155800876,-347694696
2019-05-26,-16461,-16461,0,40155784415,-347711157
2019-05-27,132347660,132347660,0,40288132075,-215363497
2019-05-28,12089,12089,0,40288144164,-215351408
2019-05-29,13212662,13212662,0,40301356826,-202138746
2019-05-30,-457559222,-457559222,0,39843797604,-659697968
2019-05-31,217907897,217907897,0,40061705501,-441790071
2019-06-01,-253853256,-253853256,0,39807852245,-695643327
2019-06-02,-808485545,-808485545,0,38999366700,-1504128872
2019-06-03,-11935474,-11935474,0,38987431226,-1516064346
2019-06-04,1301142706,1301142706,0,40288573932,-214921640
2019-06-05,937083,937083,0,40289511015,-213984557
2019-06-06,1717858,1717858,0,40291228873,-212266699
2019-06-07,-6182712,-6182712,0,40285046161,-218449411
2019-06-08,4440841,4440841,0,40289487002,-214008570
2019-06-09,-3387739,-3387739,0,40286099263,-217396309
2019-06-10,616978933,616978933,0,40903078196,0
2019-06-11,29123972,29123972,0,40932202168,0
2019-06-12,-161333169,-161333169,0,40770868999,-161333169
2019-06-13,-11928135,-11928135,0,40758940864,-173261304
2019-06-14,-137119684,-137119684,0,40621821180,-310380988
2019-06-15,388712,388712,0,40622209892,-309992276
2019-06-16,857616062,857616062,0,41479825954,0
2019-06-17,409551335,409551335,0,41889377289,0
2019-06-18,37445480,37445480,0,41926822769,0
2019-06-19,319559778,319559778,0,42246382547,0
2019-06-20,133468508,133414395,54113,42379851055,0
2019-06-21,-1070078871,-1070078871,0,41309772184,-1070078871
2019-06-22,-350725907,-350725907,0,40959046277,-1420804778
2019-06-23,91378064,91378064,0,41050424341,-1329426714
2019-06-24,191946388,187802845,4143543,41242370729,-1137480326
2019-06-25,264556407,264556407,0,41506927136,-872923919
2019-06-26,984514747,984514747,0,42491441883,0
2019-06-27,1042756641,1042756641,0,43534198524,0
2019-06-28,-826963666,652987334,-1479951000,42707234858,-826963666
2019-06-29,961821059,961821059,0,43669055917,0
2019-06-30,2581,2581,0,43669058498,0
2019-07-01,38591648,38591648,0,43707650146,0
2019-07-02,-981928410,-981928410,0,42725721736,-981928410
2019-07-03,-89787768,-89787768,0,42635933968,-1071716178
2019-07-04,-41662182,-41662182,0,42594271786,-1113378360
2019-07-05,1091971769,1091971769,0,43686243555,-21406591
2019-07-06,2030309,2030309,0,43688273864,-19376282
2019-07-07,7021577,7021577,0,43695295441,-12354705
2019-07-08,102132689,102132689,0,43797428130,0
2019-07-09,-196115737,-199528208,3412471,43601312393,-196115737
2019-07-10,119016797,119016797,0,43720329190,-77098940
2019-07-11,-638701041,-9330010,-629371031,43081628149,-715799981
2019-07-12,362562209,362562209,0,43444190358,-353237772
2019-07-13,5150049,5150049,0,43449340407,-348087723
2019-07-14,651317,651317,0,43449991724,-347436406
2019-07-15,2502704404,2502704404,0,45952696128,0
2019-07-16,-1136476834,-1136476834,0,44816219294,-1136476834
2019-07-17,3717597426,3717597426,0,48533816720,0
2019-07-18,285888120,285888120,0,48819704840,0
2019-07-19,-435431450,-435431450,0,48384273390,-435431450
2019-07-20,5815841,5815841,0,48390089231,-429615609
2019-07-21,5656184,5656184,0,48395745415,-423959425
2019-07-22,731511378,731511378,0,49127256793,0
2019-07-23,-977,-977,0,49127255816,-977
2019-07-24,4745059,4745059,0,49132000875,0
2019-07-25,215694710,215694710,0,49347695585,0
2019-07-26,913194753,913194753,0,50260890338,0
2019-07-27,-1663458402,-1663458402,0,48597431936,-1663458402
2019-07-28,-15745344,-15745344,0,48581686592,-1679203746
2019-07-29,-166123363,-166123363,0,48415563229,-1845327109
2019-07-30,1296,1296,0,48415564525,-1845325813
