episode_id,start,end,closed,direction,gross_sat,trade_fee_sat,funding_credit_sat,entry_contracts,exit_contracts,entry_cost_sat,exit_cost_sat,peak_contracts,opening_batches,closing_batches,net_sat,duration_hours,entry_harmonic_usd,exit_harmonic_usd
1594,2018-12-14 23:08:34.240466,2018-12-15 00:46:22.672096,True,long,16644,-3556,0,228,228,7119528,7102884,228,1,1,20200,1.6301198972222222,3202.459488887466,3209.9637274098804
1595,2018-12-15 00:46:22.672096,2018-12-15 02:04:30.418796,True,short,42322412,-5458802,0,349772,349772,10896447116,10938769528,349772,1,3,47781214,1.302151861111111,3209.9637274098804,3197.544285988361
1596,2018-12-15 02:04:30.418796,2018-12-15 03:51:05.253916,True,long,39900,-3556,0,228,228,7130472,7090572,228,1,1,43456,1.776343088888889,3197.544285988361,3215.5374770892954
1597,2018-12-15 03:51:05.253916,2018-12-15 10:38:22.483496,True,short,242042224,-5499269,-3226480,349772,349772,10877559428,11119601652,349772,5,37,244315013,6.788119327777777,3215.5374770892954,3145.544336447422
1598,2018-12-15 10:38:22.483496,2018-12-15 11:10:44.332136,True,long,19380,-3619,0,228,228,7248348,7228968,228,1,1,22999,0.5394024,3145.544336447422,3153.977165205324
1599,2018-12-15 11:10:44.332136,2018-12-15 11:11:53.754007,True,short,-60554522,5499513,0,349772,349772,11089871032,11029316510,349772,10,1,-66054035,0.019283853055555553,3153.977165205324,3171.2935219772744
1600,2018-12-15 11:11:53.754007,2018-12-15 11:13:19.832665,True,long,-13253,10794,0,228,228,7189495,7202748,228,1,1,-24047,0.023910738333333334,3171.293672225935,3165.458516666139
1601,2018-12-15 11:13:19.832665,2018-12-15 13:54:06.508541,True,short,163644902,8905910,1525928,699772,699772,22141497252,22305142154,699772,5,65,156264920,2.6796321877777776,3160.454742674599,3137.267609274166
1602,2018-12-15 13:54:06.508541,2018-12-15 14:36:16.005585,True,long,28728,-3623,0,228,228,7261116,7232388,228,1,1,32351,0.7026380677777778,3140.01318805539,3152.4857350020493
1603,2018-12-15 14:36:16.005585,2018-12-15 15:58:27.810973,True,short,39498043,5577114,0,349772,349772,11095117612,11134615655,349772,7,1,33920929,1.369945941111111,3152.4857350020493,3141.302859815685
1604,2018-12-15 15:58:27.810973,2018-12-15 16:11:26.960288,True,long,14347,3633,0,228,228,7258135,7243788,228,1,1,10714,0.2164303652777778,3141.302827792539,3147.52447200277
1605,2018-12-15 16:11:26.960288,2018-12-15 16:28:08.168843,True,short,6995440,-5558045,0,349772,349772,11112606212,11119601652,349772,10,1,12553485,0.27811348750000003,3147.52447200277,3145.544336447422
1606,2018-12-15 16:28:08.168843,2018-12-16 02:26:37.347363,True,long,192060,3480,3458,228,228,7248348,7056288,228,1,1,192038,9.974771811111111,3145.544336447422,3231.1606328993375
1607,2018-12-16 02:26:37.347363,2018-12-16 02:44:47.727830,True,short,50928449,-3898869,0,349772,349772,10828379839,10879308288,349772,4,24,54827318,0.3028834630555555,3230.1415835104417,3215.0205761316874
1608,2018-12-16 02:44:47.727830,2018-12-16 03:19:13.417905,True,long,30780,-3538,0,228,228,7091712,7060932,228,1,1,34318,0.573802798611111,3215.0205761316874,3229.035487100003
1609,2018-12-16 03:19:13.417905,2018-12-16 07:19:15.312645,True,short,-16789056,-5411825,-3848005,349772,349772,10832089068,10815300012,349772,21,39,-15225236,4.000526316666667,3229.035487100003,3234.0480579541413
1610,2018-12-16 07:19:15.312645,2018-12-16 10:21:10.922809,True,long,73757485,-5642500,0,1050228,1050228,32654699988,32580942503,700228,223,62,79399985,3.0321139344444443,3216.1618400595917,3223.442661007418
1611,2018-12-16 10:21:10.922809,2018-12-16 14:17:52.962888,True,short,154950031,7966569,798856,699545,699545,21571117463,21726067494,699545,30,24,147782318,3.9450111330555555,3242.9706119764037,3219.841787719708
1612,2018-12-16 14:17:52.962888,2018-12-16 16:01:53.795221,True,long,81923196,-6911316,0,1400455,1400455,43771175516,43689252320,1050455,91,135,88834512,1.7335645369444446,3199.4914084226075,3205.490883072178
1613,2018-12-16 16:01:53.795221,2018-12-17 02:22:55.082959,True,short,207628572,-16941426,2165929,3222415,3222415,100521749605,100729378177,1594229,530,386,226735927,10.350357705,3205.6893285905517,3199.0815969672976
1614,2018-12-17 02:22:55.082959,2018-12-17 02:23:27.080744,True,long,2319,1501,0,32,32,1002048,999729,32,1,1,818,0.008888273611111112,3193.459794341189,3200.867435074905
1615,2018-12-17 02:23:27.080744,2018-12-17 16:02:15.742852,True,short,-1279782439,67844330,-4128075,7051184,7051184,210114389260,208834606821,2100261,498,213,-1351754844,13.646850585555555,3355.8786834321545,3376.4442145567546
1616,2018-12-17 16:02:15.742852,2018-12-17 16:04:17.471021,True,long,-319298,200366,0,4557,4557,133629160,133948458,4557,1,1,-519664,0.03381338027777778,3410.183825147146,3402.054841124039
1617,2018-12-17 16:04:17.471021,2018-12-17 16:13:51.721852,True,short,2766213,37889373,0,1045443,1045443,30732932635,30735698848,1045443,23,125,-35123160,0.1595141197222222,3401.702702492518,3401.396549237819
1618,2018-12-17 16:13:51.721852,2018-12-17 16:26:47.852192,True,long,11025,2067,0,48,48,1410528,1399503,48,1,1,8958,0.2155917611111111,3402.9810113659564,3429.7890036677304
1619,2018-12-17 16:26:47.852192,2018-12-17 19:13:38.066578,True,short,-2468452508,77430065,0,6057084,6057084,174120056395,171651603887,3378837,270,290,-2545882573,2.7806151072222223,3478.6825397409725,3528.708070789388
1620,2018-12-17 19:13:38.066578,2018-12-17 19:30:01.857847,True,long,80876088,-5377710,0,1259686,1259686,35733566862,35652690774,909686,195,76,86253798,0.2732753525,3525.2176332264853,3533.2143876182154
1621,2018-12-17 19:30:01.857847,2018-12-17 19:41:55.906169,True,short,817768,-206608,0,14603,14603,412812207,413629975,14603,6,1,1024376,0.1983467561111111,3537.443843078991,3530.45013239188
1622,2018-12-17 19:41:55.906169,2018-12-17 20:22:04.109413,True,long,209398191,-4926035,17617994,1745397,1745397,49505530025,49296131834,1395397,257,109,231942220,0.6689453455555555,3525.6606668357754,3540.6368310549337
1623,2018-12-17 20:22:04.109413,2018-12-17 21:13:40.804430,True,short,369309237,27543457,0,1404316,1404316,39480077295,39849386532,1404316,42,40,341765780,0.8601930602777778,3557.0244442704047,3524.059269701181
1624,2018-12-17 21:13:40.804430,2018-12-17 21:26:05.033345,True,long,35754413,10018768,0,700523,700523,20019571942,19983817529,700523,3,150,25735645,0.20673025416666668,3499.190702126552,3505.4513432351905
1625,2018-12-17 21:26:05.033345,2018-12-17 21:30:51.720609,True,short,80226432,10035779,0,699477,699477,19951182471,20031408903,699477,103,2,70190653,0.07963535111111111,3505.9425726606596,3491.9011607578086
1626,2018-12-17 21:30:51.720609,2018-12-18 06:50:05.767879,True,long,319861921,-33418284,24336,4203328,4203328,120487836263,120167974342,1403328,360,315,353304541,9.320568686111113,3488.5911560607706,3497.8770533630372
1627,2018-12-18 06:50:05.767879,2018-12-18 08:30:29.963628,True,short,285206,13771,0,946,946,27114252,27399458,946,1,1,271435,1.6733877080555557,3488.9400600097692,3452.6230409375253
1628,2018-12-18 08:30:29.963628,2018-12-18 08:31:24.261953,True,long,25999711,9780145,0,349054,349054,10109820717,10083821006,349054,1,13,16219566,0.015082868055555556,3452.6230461540636,3461.5251479802
1629,2018-12-18 08:31:24.261953,2018-12-18 08:50:01.835887,True,short,131494,-13697,0,946,946,27328994,27460488,946,1,1,145191,0.3104372038888889,3461.5251479802,3444.9497037343253
